DateTime_ET,Open,High,Low,Close,Volume,DateTime_UTC
2025-11-20 19:00:00,6565.75,6568.75,6564.5,6567.0,459,2025-11-21 00:00:00
2025-11-20 19:01:00,6566.75,6569.0,6565.25,6565.5,454,2025-11-21 00:01:00
2025-11-20 19:02:00,6565.5,6566.5,6562.5,6564.25,738,2025-11-21 00:02:00
2025-11-20 19:03:00,6564.5,6565.25,6561.75,6563.0,517,2025-11-21 00:03:00
2025-11-20 19:04:00,6563.25,6565.25,6563.0,6563.25,296,2025-11-21 00:04:00
2025-11-20 19:05:00,6563.5,6567.25,6563.0,6567.25,379,2025-11-21 00:05:00
2025-11-20 19:06:00,6566.75,6569.5,6566.0,6568.5,529,2025-11-21 00:06:00
2025-11-20 19:07:00,6568.5,6570.0,6567.0,6569.5,273,2025-11-21 00:07:00
2025-11-20 19:08:00,6569.5,6572.0,6568.5,6571.5,347,2025-11-21 00:08:00
2025-11-20 19:09:00,6571.5,6574.0,6571.25,6574.0,406,2025-11-21 00:09:00
2025-11-20 19:10:00,6574.0,6574.5,6571.5,6573.0,367,2025-11-21 00:10:00
2025-11-20 19:11:00,6572.75,6574.25,6572.25,6573.5,319,2025-11-21 00:11:00
2025-11-20 19:12:00,6573.25,6574.25,6570.0,6571.75,358,2025-11-21 00:12:00
2025-11-20 19:13:00,6571.5,6573.75,6571.25,6571.5,485,2025-11-21 00:13:00
2025-11-20 19:14:00,6571.25,6573.0,6571.0,6572.5,279,2025-11-21 00:14:00
2025-11-20 19:15:00,6572.5,6573.0,6570.25,6570.5,263,2025-11-21 00:15:00
2025-11-20 19:16:00,6570.75,6571.5,6569.25,6571.0,517,2025-11-21 00:16:00
2025-11-20 19:17:00,6571.25,6577.25,6571.0,6576.75,770,2025-11-21 00:17:00
2025-11-20 19:18:00,6576.5,6577.25,6575.0,6575.5,269,2025-11-21 00:18:00
2025-11-20 19:19:00,6575.5,6576.5,6573.75,6575.0,208,2025-11-21 00:19:00
2025-11-20 19:20:00,6575.0,6576.75,6574.75,6576.25,221,2025-11-21 00:20:00
2025-11-20 19:21:00,6576.5,6577.5,6574.25,6574.75,319,2025-11-21 00:21:00
