DateTime_ET,Open,High,Low,Close,Volume,DateTime_UTC
2025-11-20 19:00:00,24133.75,24152.75,24129.0,24141.0,300,2025-11-21 00:00:00
2025-11-20 19:01:00,24141.0,24151.5,24133.0,24133.0,262,2025-11-21 00:01:00
2025-11-20 19:02:00,24132.75,24138.25,24118.0,24126.75,344,2025-11-21 00:02:00
2025-11-20 19:03:00,24128.5,24131.5,24111.25,24120.75,343,2025-11-21 00:03:00
2025-11-20 19:04:00,24122.75,24134.25,24119.75,24121.0,224,2025-11-21 00:04:00
2025-11-20 19:05:00,24122.0,24143.25,24120.0,24142.5,241,2025-11-21 00:05:00
2025-11-20 19:06:00,24141.25,24148.75,24133.5,24147.5,293,2025-11-21 00:06:00
2025-11-20 19:07:00,24147.0,24157.75,24138.75,24155.75,188,2025-11-21 00:07:00
2025-11-20 19:08:00,24153.75,24166.75,24148.5,24164.75,262,2025-11-21 00:08:00
2025-11-20 19:09:00,24164.25,24176.25,24160.0,24176.25,343,2025-11-21 00:09:00
2025-11-20 19:10:00,24176.25,24178.25,24162.75,24171.5,241,2025-11-21 00:10:00
2025-11-20 19:11:00,24170.25,24177.75,24168.75,24172.75,151,2025-11-21 00:11:00
2025-11-20 19:12:00,24172.25,24176.5,24156.0,24166.0,245,2025-11-21 00:12:00
2025-11-20 19:13:00,24164.0,24177.25,24163.75,24164.5,202,2025-11-21 00:13:00
2025-11-20 19:14:00,24164.0,24173.5,24164.0,24169.25,118,2025-11-21 00:14:00
2025-11-20 19:15:00,24171.0,24173.25,24157.75,24159.25,171,2025-11-21 00:15:00
2025-11-20 19:16:00,24162.25,24168.25,24157.75,24166.5,175,2025-11-21 00:16:00
2025-11-20 19:17:00,24166.5,24190.0,24166.5,24187.0,389,2025-11-21 00:17:00
2025-11-20 19:18:00,24186.75,24189.25,24178.75,24180.5,176,2025-11-21 00:18:00
2025-11-20 19:19:00,24181.75,24186.0,24172.75,24177.75,166,2025-11-21 00:19:00
2025-11-20 19:20:00,24178.25,24188.0,24178.0,24184.75,210,2025-11-21 00:20:00
2025-11-20 19:21:00,24185.0,24189.0,24174.25,24177.75,209,2025-11-21 00:21:00
2025-11-20 19:22:00,24180.0,24181.5,24174.0,24178.25,121,2025-11-21 00:22:00
2025-11-20 19:23:00,24178.75,24183.0,24177.5,24181.5,76,2025-11-21 00:23:00
2025-11-20 19:24:00,24181.25,24190.0,24181.25,24187.75,124,2025-11-21 00:24:00
2025-11-20 19:25:00,24188.5,24191.25,24183.25,24183.75,109,2025-11-21 00:25:00
2025-11-20 19:26:00,24183.5,24188.5,24183.5,24187.0,109,2025-11-21 00:26:00
2025-11-20 19:27:00,24187.75,24189.25,24184.25,24189.0,66,2025-11-21 00:27:00
